Product,Cost,Occurences,Warehouses count,Level 3 - CATEGORY MANAGER
*RETRO KRÁLOVSKÁ SLANINA,-1016783,9787,317,FF CM MEAT PRODUCTS
*VYSOČINA,-852112,7703,316,FF CM MEAT PRODUCTS
HERKULES,-664212,6028,317,FF CM MEAT PRODUCTS
*PEČENĚ KLADENSKÁ,-650877,7851,317,FF CM MEAT PRODUCTS
POLIČAN,-520645,5726,316,FF CM MEAT PRODUCTS
RETRO PAPRIKÁŠ,-478297,5139,317,FF CM MEAT PRODUCTS
*DUŠENÁ ŠUNKA NEJVYŠŠÍ JAKOSTI,-477032,9078,315,FF CM MEAT PRODUCTS
PRINC SALÁM,-454282,4727,317,FF CM MEAT PRODUCTS
PIKANTNÍ SLANINA DELIKATES,-371618,5598,295,FF CM MEAT PRODUCTS
RETRO DEBRECÍNSKÁ PEČENĚ,-371491,6919,317,FF CM MEAT PRODUCTS
